City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
408,Caucaia,BR,86.07,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
409,The Valley,AI,84.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
414,Monteagudo,BO,78.73,overcast clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
416,Inongo,CD,72.93,light rain,-1.95,18.2667,Hotel Du Lac
418,Eirunepe,BR,79.77,overcast clouds,-6.6603,-69.8736,Atrás de você
419,Luwuk,ID,78.73,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
426,Boyolangu,ID,76.5,moderate rain,-8.1181,111.8935,Yos ega cv
428,Bayshore Gardens,US,77.18,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
430,Ambilobe,MG,76.82,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
433,Orange Walk,BZ,84.06,overcast clouds,17.8333,-88.8333,
435,Springfield,US,77.02,clear sky,37.2153,-93.2982,University Plaza Hotel & Convention Center
437,Cape Coast,GH,81.03,few clouds,5.1053,-1.2466,Samrit Hotel
439,Esmeraldas,BR,79.66,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
440,Hambantota,LK,77.38,heavy intensity rain,6.1241,81.1185,Bungalow 63
441,Sydney,AU,71.26,clear sky,-33.8679,151.2073,The Grace Sydney
442,Caravelas,BR,78.3,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
446,Nacala,MZ,77.81,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
451,Ugoofaaru,MV,81.91,few clouds,5.6667,73.0,Ungoofaaru Inn
452,Sabang,ID,80.62,light rain,5.8933,95.3214,Hotel Citra
454,Port-Gentil,GA,80.56,moderate rain,-0.7193,8.7815,Fengshui Residence
455,Sulangan,PH,81.48,overcast clouds,11.1373,123.7228,Maia's Beach Resort
458,Santa Maria,BR,81.7,scattered clouds,-29.6842,-53.8069,Hotel Morotin
459,Lucea,JM,84.06,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
460,Ilhabela,BR,71.96,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
