Unnamed: 0,TotalCoinSupply,TotalCoinsMined,CoinName,Class
XCXT,4.8252e-05,1.9737140166968463e-05,CoinonatX,0
ETHD,4.2e-06,4.242430184513802e-06,Ethereum Dark,0
SUMO,8.8888888e-05,9.037083836381659e-06,Sumokoin,3
ODN,9.1388946e-05,2.525277072528041e-05,Obsidian,0
ADA,0.045,0.026189258670453058,Cardano,0
REC,2.7e-05,7.335800847435647e-06,Regalcoin,0
BTCZ,0.021,0.005264255183404156,BitcoinZ,3
TZC,0.00039999999999999996,0.0001844852931436257,TrezarCoin,0
ELM,0.0018,0.002730188324649383,Elements,3
TER,1.5733333e-05,1.1522282036277493e-06,TerraNovaCoin,0
VIVO,2.7e-05,4.2080536057275544e-06,VIVO Coin,3
RUP,2.4e-05,2.4242658199282013e-05,Rupee,0
BTG,2.1e-05,1.7376277988060767e-05,Bitcoin Gold,3
WOMEN,0.024999999999999998,0.048949520086634876,WomenCoin,0
MAY,9.999999999999999e-05,9.298162368349356e-05,Theresa May Coin,0
NAMO,0.0012,0.0005662318877113143,NamoCoin,0
LUX,6e-05,8.389725261934065e-06,LUXCoin,0
PIRL,0.00015630673271,3.433063179417746e-05,Pirl,3
XIOS,2.1e-05,2.171384351108982e-06,Xios,0
BTDX,0.00019999999999999998,3.102207945790435e-05,Bitcloud 2.0,0
EBST,9.999999999999999e-05,0.00010100111055846874,eBoost,3
KEK,2.1e-05,1.2455459479832744e-05,KekCoin,0
BLHC,1.4788275991e-05,1.6527969228952047e-05,BlackholeCoin,0
XIN,0.009,0.009091012681459745,Infinity Economics,0
PURA,0.00035,0.00017698769150478906,Pura,3
INN,4.4999999999999996e-05,6.439686588109045e-06,Innova,3
ELLA,0.00028,1.2885323668253108e-05,Ellaism,3
GBX,3.18e-05,5.8912438052245976e-06,GoByte,3
MAG,0.000144,3.8584836692894136e-05,Magnet,0
TAU,0.0005,0.0002910038484228817,Lamden Tau,0
ECA,0.03,0.028686337310386032,Electra,0
BCD,0.00021,0.0001853899750634157,Bitcoin Diamond,0
XSH,0.00066,0.00048660203702011835,SHIELD,3
CNBC,0.00021,0.0001120991924368031,Cash & Back Coin,0
XUN,0.08499999999999999,0.019476809291408066,UltraNote,3
COAL,1.2499999999999999e-05,4.545463942313321e-06,BitCoal,3
DAXX,0.01,0.0005261592692429206,DaxxCoin,3
BWK,2.7716120999999998e-05,1.3381098896885897e-05,Bulwark,0
KLKS,1.9999999999999998e-05,1.712718809077933e-05,Kalkulus,0
AC3,0.00055,8.112836430670049e-05,AC3,3
LTHN,0.000999481516,0.0004457123454091431,Lethean,3
GER,0.049999999999999996,0.004961167901150851,GermanCoin,0
LTCU,0.00015,8.504501321182602e-06,LiteCoin Ultra,0
POP,0.004999999999,0.00400428929463865,PopularCoin,3
PNX,4.9999999999999996e-05,4.5630997097805847e-05,PhantomX,0
PHO,0.09,0.030393954073733687,Photon,3
