Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
SJCX,Counterparty,PoS,51173144.0,500000000.0,-0.3620501813065661,1.2678378707765114,-0.15728928845662743,0,StorjCoin
MONA,Scrypt,PoW,68194674.8711679,105120000.0,-0.15692826544353733,-1.0824757702606325,0.005945796054884132,3,MonaCoin
NTRN,SHA-256,PoW/PoS,39121694.0,68000000.0,-0.3071237528237742,0.8489302251385332,-0.4446294211107025,0,Neutron
FAIR,Groestl,PoW/PoS,53193831.0,0.0,-0.3677134150766849,0.9267725695760108,-0.42666613073340237,0,FairCoin
NLG,Scrypt,PoW,415032420.0,1680000000.0,-0.14154601707045092,-1.083154290627325,0.005737598355640506,3,Gulden
RBY,Scrypt,PoS,27184490.3918338,0.0,-0.29438621780263785,0.8059788544862563,-0.20683425929975185,0,RubyCoin
PTC,Scrypt,PoW,137517654.41397,166386000.0,-0.15564832590639038,-1.0824817604957095,0.00591835275582826,3,PesetaCoin
KORE,X13,PoW/PoS,2022464.886973,12000000.0,-0.2740523221044215,1.8491349317518657,-0.619448171737535,0,Kore
WBB,Scrypt,PoW,181919.2435974,2628000.0,-0.15848404185001186,-1.08244822096104,0.005975089664622933,3,Wild Beast Coin
NOTE,Scrypt,PoS,174646113.934655,500000000.0,-0.2890466969480666,0.8057770844823928,-0.20691329842977782,0,Dnotes
FLO,Scrypt,PoW,152270664.860648,160000000.0,-0.155513436266377,-1.0824731030078205,0.005913598094012389,3,Flo
8BIT,Scrypt,PoW/PoS,1467841.0,0.0,-0.32632846659749287,1.093115424626232,-0.523937082426456,0,8BIT Coin
STV,X13,PoW/PoS,7096834.0,10000000.0,-0.27400453520674917,1.8491378090620818,-0.6194498181092699,0,Sativa Coin
ABY,Scrypt,PoW,792537250.0,1000000000.0,-0.14175128285909044,-1.0826686093265676,0.005644808830077762,3,ArtByte
FLDC,Stanford Folding,PoW,719416990.0,1000000000.0,-0.1352379201028472,-2.3104622334664424,0.30424701695889494,3,Folding Coin
U,X11,PoS,2689812.0,20000000.0,-0.36423207283834186,0.9362387004623757,-0.16149655594939483,0,Ucoin
UIS,Multiple,PoW,65113302.0,0.0,-0.11756041737036907,-1.8443813486226606,0.28788642378853097,3,Unitus
CYP,QuBit,PoW,6365285.0,0.0,-0.18143329946042425,-1.5484107223777992,0.19689418284746527,3,CypherPunkCoin
OMC,Scrypt,PoW,10140044.4430293,3371337.0,-0.15835721772845404,-1.082444961429911,0.00597159784164375,3,OmniCron
VTR,Scrypt,PoW/PoS,11604722.0,20000000.0,-0.32606314599587743,1.0931089029367647,-0.5239417125111925,0,Vtorrent
GRE,Scrypt,PoW,4610340640.89,10000000000.0,-0.03143674365615378,-1.0858752206183686,0.003818978913795033,3,GreenCoin
XCN,M7 POW,PoW,708506520.0,1840000000.0,-0.1099437471337073,-2.1620888393727857,0.42109616623944535,3,Cryptonite
MSC,Scrypt,PoW,619478.0,619478.0,-0.15849291837835,-1.0824470340141958,0.005975050323761185,3,MasterCoin
SOON,SHA-256,PoW,12462620.0,21000000.0,-0.1399403740751933,-1.32661731775261,0.08529431612316767,3,SoonCoin
1CR,Scrypt,PoW,88213.0,92000000000.0,0.4927471581893107,-1.1294894867471168,0.0008330457908378071,3,1Credit
ISL,X11,PoW/PoS,1513704.0,0.0,-0.39601632330032305,1.2233944666411245,-0.47860676396854374,0,IslaCoin
NXS,SHA3,PoW/nPoS,63657220.0,78000000.0,-0.6139240683467845,1.1977224834243174,-0.1561038435960889,0,Nexus
MARS,X11,PoW,32221574.820996,33000000.0,-0.22756634182994037,-0.9521730156301476,0.05129262536067696,3,MarsCoin 
CTO,Lyra2RE,PoW,13742738.0,65789100.0,-0.13414434767215977,-2.1771907917459554,0.37463048060319815,3,Crypto
ACP,SHA-256,PoW,14747200.0002,53760000.0,-0.1396805834726466,-1.3266332340024682,0.08529169348696701,3,Anarchists Prime
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000.0,-0.39279607734899696,1.9436610049808107,-0.8043560372897295,0,Droidz
BSC,X11,PoW,15863837.5,21000000.0,-0.22785097199553805,-0.952172858277795,0.05129896368779656,3,BowsCoin
SQL,X11,PoS/PoW,329200.01639,0.0,-0.3736778859514749,0.7526900004841907,-0.24609390373225865,0,Squall Coin
SONG,Scrypt,PoW,32565300.0,210240000.0,-0.15661908018629,-1.0825425437973681,0.005952265314043474,3,Song Coin
ZNY,Scrypt,PoW,75614500.0,250000000.0,-0.15581211048241334,-1.0825471401972155,0.005935127362171134,3,BitZeny
DIGS,Scrypt,PoS,100000000.0,100000000.0,-0.29278945297238296,0.8059543347990078,-0.20686507767273926,0,Diggits
EXP,Ethash,PoW,10495278.0,16906397.0,-0.15446634593664688,-2.0556077901583056,0.39631961648825254,3,Expanse
CON,X13,PoW/PoS,23042604.0,50000000.0,-0.27352672725453697,1.8491231838330955,-0.6194575787230807,0,Paycon
SC,Blake2b,PoW,33098296530.0,0.0,0.36684637604945275,-2.2400674505029547,0.40051116913430707,3,Siacoin
EMC,SHA-256,PoW/PoS,43059794.804778,1000000000.0,-0.3004782238590588,0.8484551027448777,-0.44468287853456145,0,Emercoin
EGC,X15,PoW/PoS,13530556.4180753,26298000.0,-0.25084273923052086,1.8642799864587567,-0.6621706429189335,0,EverGreenCoin
MND,X11,PoW,15867695.0,16000000.0,-0.22788631897895095,-0.9521703002062044,0.05129924181991014,3,MindCoin
I0C,SHA-256,PoW,20997476.8650231,21000000.0,-0.13983618621274801,-1.326614198323606,0.08529135897977534,3,I0coin
DCR,BLAKE256,PoW/PoS,10365046.9281661,21000000.0,-0.08082821229721363,0.9607553548878354,-0.4840651162545334,0,Decred
RVR,Scrypt,PoW,210000000.0,210000000.0,-0.15445477416358533,-1.0824775699666729,0.005890801440874702,3,Revolution VR
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100.0,-0.14815533340282824,-2.2186498765242697,0.3543205769273771,3,HOdlcoin
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000.0,-0.30788215278695186,0.848940788973538,-0.4446145666467627,0,EDRCoin
HTC,X11,PoW/PoS,10996318099.0,26550000000.0,-0.07385652693782851,1.2138371151946254,-0.4839002045509937,0,Hitcoin
GAME,Scrypt,PoW,69836100.0,84000000.0,-0.15705773258129124,-1.0824643709924846,0.005946407812156027,3,Gamecredits
DBIC,SHA-256,PoW/PoS,5129014.0,10500000.0,-0.3079457447199723,0.8489472026672393,-0.44461442949243735,0,DubaiCoin
DIEM,SHA-256,PoW,21739971929.0,21626280000.0,0.2782343972295,-1.3297235472386617,0.07655860416218101,3,CarpeDiemCoin
PWR,NIST5,PoW/PoS,10069449031.9252,0.0,-0.2353177516103103,1.51217996985839,-0.5682198591412567,0,PWR Coin
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000.0,-0.3259392241311487,1.0930967011587196,-0.5239420392579669,0,BillaryCoin
GPU,Scrypt,PoS,40477042.0,221052632.0,-0.2926591605554964,0.8058706814589065,-0.2068512203378145,0,GPU Coin
ADZ,X11,PoW,45110324.0,84000000.0,-0.22704798499590595,-0.9521943828340751,0.0512853091074542,3,Adzcoin
SOIL,Dagger,PoW,5702048.0,30000000.0,-0.13228822969512577,-2.1658145678948624,0.3730894911252209,3,SoilCoin
YOC,Scrypt,PoW,636462.55983338,168351300.0,-0.15730536856461746,-1.0825327945115666,0.005965669281680197,3,YoCoin
SIB,X11GOST,PoW,17263355.0,24000000.0,-0.14494551266865077,-2.3156325474408574,0.2924195828843834,3,SibCoin
ERC,X11,PoW/PoS,10407269.7881868,384000000.0,-0.39318949173510953,1.2232013655569474,-0.4786313085894339,0,EuropeCoin
ZEIT,Scrypt,PoS,36971236046.8073,99000000000.0,0.8574048692465825,0.7688597388002825,-0.22516805383120858,0,ZeitCoin
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000.0,-0.30774609877910586,0.8489318435372981,-0.4446158178291774,0,SwingCoin
SAFEX,Scrypt,PoC,2147483647.0,2147483647.0,-0.2240487135167126,-0.12844386976649938,0.051463432511783334,3,SafeExchangeCoin
NEBU,PoS,PoS,20000000.0,20000000.0,-0.3675371214594446,1.5085402453274595,0.02791409477677251,0,Nebuchadnezzar
